[Epoch 151/3000] D Loss: -0.8359 | G Loss: 0.9293 | W Dist: 1.5763 | Aux MSE: 0.0000

[Epoch 152/3000] D Loss: -0.7901 | G Loss: 0.9985 | W Dist: 1.5710 | Aux MSE: 0.0000

[Epoch 153/3000] D Loss: -0.8666 | G Loss: 0.9861 | W Dist: 1.6529 | Aux MSE: 0.0000

[Epoch 154/3000] D Loss: -0.8000 | G Loss: 0.9342 | W Dist: 1.5819 | Aux MSE: 0.0000

[Epoch 155/3000] D Loss: -0.8978 | G Loss: 0.9445 | W Dist: 1.6661 | Aux MSE: 0.0000

[Epoch 156/3000] D Loss: -0.7666 | G Loss: 0.9549 | W Dist: 1.6644 | Aux MSE: 0.0000

[Epoch 157/3000] D Loss: -0.8559 | G Loss: 0.9357 | W Dist: 1.6461 | Aux MSE: 0.0000

[Epoch 158/3000] D Loss: -0.8710 | G Loss: 1.0040 | W Dist: 1.7238 | Aux MSE: 0.0000

[Epoch 159/3000] D Loss: -0.8313 | G Loss: 1.0015 | W Dist: 1.6571 | Aux MSE: 0.0000

[Epoch 160/3000] D Loss: -0.8077 | G Loss: 0.9551 | W Dist: 1.6266 | Aux MSE: 0.0000

[Epoch 161/3000] D Loss: -0.8031 | G Loss: 0.9575 | W Dist: 1.6438 | Aux MSE: 0.0000

[Epoch 162/3000] D Loss: -0.8309 | G Loss: 0.9485 | W Dist: 1.6161 | Aux MSE: 0.0000

[Epoch 163/3000] D Loss: -0.8655 | G Loss: 0.9720 | W Dist: 1.6053 | Aux MSE: 0.0000

[Epoch 164/3000] D Loss: -0.8930 | G Loss: 0.9843 | W Dist: 1.6643 | Aux MSE: 0.0000

[Epoch 165/3000] D Loss: -0.9460 | G Loss: 1.0006 | W Dist: 1.7082 | Aux MSE: 0.0000

[Epoch 166/3000] D Loss: -1.0874 | G Loss: 1.0775 | W Dist: 1.7791 | Aux MSE: 0.0000

[Epoch 167/3000] D Loss: -1.1630 | G Loss: 1.1130 | W Dist: 1.9001 | Aux MSE: 0.0000

[Epoch 168/3000] D Loss: -1.0273 | G Loss: 1.0759 | W Dist: 1.8665 | Aux MSE: 0.0000

[Epoch 169/3000] D Loss: -1.0593 | G Loss: 1.0137 | W Dist: 1.8715 | Aux MSE: 0.0000

[Epoch 170/3000] D Loss: -1.0357 | G Loss: 0.9663 | W Dist: 1.8308 | Aux MSE: 0.0000

[Epoch 171/3000] D Loss: -1.0585 | G Loss: 0.9635 | W Dist: 1.8194 | Aux MSE: 0.0000

[Epoch 172/3000] D Loss: -1.0478 | G Loss: 0.9736 | W Dist: 1.7837 | Aux MSE: 0.0000

[Epoch 173/3000] D Loss: -1.1115 | G Loss: 1.0116 | W Dist: 1.8628 | Aux MSE: 0.0000

[Epoch 174/3000] D Loss: -1.1112 | G Loss: 0.9989 | W Dist: 1.8586 | Aux MSE: 0.0000

[Epoch 175/3000] D Loss: -0.9582 | G Loss: 0.9830 | W Dist: 1.8082 | Aux MSE: 0.0000

[Epoch 176/3000] D Loss: -0.9840 | G Loss: 0.8914 | W Dist: 1.7707 | Aux MSE: 0.0000

[Epoch 177/3000] D Loss: -0.8502 | G Loss: 0.9094 | W Dist: 1.7081 | Aux MSE: 0.0000

[Epoch 178/3000] D Loss: -0.8772 | G Loss: 0.8883 | W Dist: 1.7207 | Aux MSE: 0.0000

[Epoch 179/3000] D Loss: -0.9997 | G Loss: 0.9162 | W Dist: 1.7204 | Aux MSE: 0.0000

